input_item_type,input_item_category,input_number_to_generate,output_item_name,output_item_rating,output_item_num_reviews
toys,Hobbies,10,Magic the Gathering 2015 Deck Builders Tool Kit,4.8,75
toys,Hobbies,10,Sunnytech® Low Temperature Stirling Engine Motor Steam Heat Education Model Toy Kits LT001,4.8,22
toys,Hobbies,10,Scalextric 1:32 Scale Mini Challenge Race Set,4.7,83
toys,Hobbies,10,Pokemon XY Phantom Force Trading Card Game Booster Pack - One (1) Pack,4.7,23
toys,Hobbies,10,Scalextric Digital C8515 Plug for Digital Plug Ready (DPR) Saloon cars 1:32 Scale Accessory,4.7,33
toys,Hobbies,10,Magic the Gathering Deck Builders Toolkit 2013,4.7,33
toys,Hobbies,10,Trading Card Storage Wallets Sleeves Album Pages 9 Pocket Max Protection (Pk of 10),4.7,31
toys,Hobbies,10,XCSOURCE 4x Quick Release Propeller Guard White For DJI Phantom 3 1 2 Vision FC40 RC128,4.7,15
toys,Hobbies,10,Yu-Gi-Oh! Battle Pack 2 War of The Giants Booster Box (Pack of 36),4.7,61
toys,Hobbies,10,Hornby R1138 GWR Passenger Freight 00 Gauge Electric Train Set,4.6,53
toys,Hobbies,10,Airfix A50142 Classic Conflict Cromwell Cruiser and King Tiger Tanks 1:76 Scale Plastic Model Gift Set,4.6,13
toys,Hobbies,10,Hot Wheels P2843 Car Launcher Track Accessory Pack,4.6,14
toys,Hobbies,10,Skylanders Giants Trading Card Starter Pack,4.6,20
toys,Hobbies,10,Hornby - Long Straight Track,4.6,13
toys,Hobbies,10,German Panther Medium Tank - 1:35 Scale Military - Tamiya,4.6,25
toys,Hobbies,10,Scalextric 1:32 Scale GT Lightning Slot Car (Blue),4.6,26
toys,Hobbies,10,Hornby West Coast Highlander,4.6,18
toys,Hobbies,10,50Fifty FC22482 Meerkat Bobble Head,4.6,24
toys,Hobbies,10,Hornby R3064 RailRoad BR Smokey Joe 00 Gauge Steam Locomotive,4.6,38
toys,Hobbies,10,Hot Wheels 5 Vehicle Pack (Pack may vary),4.6,220
toys,Hobbies,10,Gogo's Crazy Bones Gold Series Tin Part 2,4.6,18
toys,Hobbies,10,Timberkits Stephensons Rocket Model,4.5,16
toys,Hobbies,10,3.7V Li-po Battery for SYMA S107 Original Factory Replacement Part S107G-19,4.5,39
toys,Hobbies,10,Learning Curve Chuggington Interactive Brewster,4.5,21
toys,Hobbies,10,Scalextric C8420 Round Guide Pack + Spring 1:32 Scale Accessory,4.5,20
toys,Hobbies,10,Syma X5C Main Blades Propellers (X4),4.5,49
toys,Hobbies,10,Black Deck Box for Trading Cards and 100 Black Standard Size Sleeves,4.5,29
toys,Hobbies,10,Bigjigs Rail Rail Name Engine,4.5,81
toys,Hobbies,10,WLtoys V911 V911-1 V911-2 3.7V 150mAh Battery 4Pcs With Charger,4.4,21
toys,Hobbies,10,Hornby - Track Rubber,4.4,26
toys,Hobbies,10,Hornby R1151 Caledonian Belle 00 Gauge Electric Train Set,4.4,97
toys,Hobbies,10,Scalextric 1:32 Scale GT Lightning Slot Car (Purple),4.4,33
toys,Hobbies,10,Hornby R3060 RailRoad BR 'Tornado' Class A1 00 Gauge Steam Locomotive,4.4,17
toys,Hobbies,10,Ultra Pro Zippered Gaming Case with Corrugated Insert,4.4,16
toys,Hobbies,10,Micro Scalextric GT Car No 26 (Black),4.4,20
toys,Hobbies,10,Doctor Who - 12" Radio Control Black Dalek,4.4,32
toys,Hobbies,10,Driver Dan 13 x 40 x 25cm Story Telling Train (Muticolour),4.4,14
toys,Hobbies,10,Yu-Gi-Oh 2013 Zexal Collectors Tin,4.4,29
toys,Hobbies,10,Thomas & Friends Trackmaster Diesel 10 Motorised Engine,4.4,28
toys,Hobbies,10,Ultra Pro SLEEVES Pro-Matte d12 Card Game (Lime Green),4.4,16
toys,Hobbies,10,Click Clack Race Track-Jungle Edition,4.4,100
toys,Hobbies,10,Scalextric 1:32 Scale Monster Truck Mayhem Race Set,4.4,30
toys,Hobbies,10,The Hubsan X4 H107C Quadcopter Black/Green Crash Pack,4.4,70
toys,Hobbies,10,Syma S031G 3.5 Channel RC Helicopter - (Colours May Vary),4.4,65
toys,Hobbies,10,Hubsan H107C H107D X4 RC Quadcopter Spare Parts Blade Set (Black&white),4.3,79
toys,Hobbies,10,Micro Scalextric 1:64 Scale Turbo GT Race Set,4.3,39
toys,Hobbies,10,Power Trains Auto Loader City,4.3,37
toys,Hobbies,10,FM Ribbon Aerial,4.3,18
toys,Hobbies,10,Hornby Santa's Express Train Set,4.3,36
toys,Hobbies,10,Ultra Pro Toploaders 3x4 Clear Regular ct25 Card Game,4.3,20
toys,Hobbies,10,Le Toy Van Car Playmat,4.3,47
toys,Hobbies,10,Yu-gi-Oh! XYZ Symphony Starter Deck 2012,4.3,29
toys,Hobbies,10,Pokemon POK TCG XY5 Primal Clash Elite Trainer Box C10 Card Game,4.3,15
toys,Hobbies,10,Pokemon Card XY MEGA Battle Deck M Charizard EX,4.3,16
toys,Hobbies,10,Hornby R1167 Flying Scotsman 00 Gauge Electric Train Set,4.2,67
toys,Hobbies,10,Match Attax 2012/ 2013 Trading Card Collectors Tin,4.2,33
toys,Hobbies,10,Pokemon Starter Collection 50 Cards including Holos & Rares in Tin,4.2,45
toys,Hobbies,10,Scalextric Digital 1:32 Scale Racer Race Set,4.2,27
toys,Hobbies,10,Hornby Gloucester City Pullman Train Set,4.2,19
toys,Hobbies,10,Scalextric 1:32 Scale GT Lightning Slot Car (Green),4.2,35
toys,Hobbies,10,Jadlam Racing New MICRO SCALEXTRIC SPARE BRAIDS PACK OF 6,4.2,16
toys,Hobbies,10,Learning Curve Chuggington Interactive Koko,4.2,21
toys,Hobbies,10,Large Christmas Holiday Express Festive Train Set (SI-TY1017) Toy Light / Sounds / Battery Operated & Smoke,4.2,53
toys,Hobbies,10,Scalextric Digital C1276 Platinum 1:32 Scale Race Set,4.2,14
toys,Hobbies,10,OFTEN 4pcs 9443 Self-Locking Carbon Fiber Propeller CW/CCW for DJI Phantom 1 & 2 Vision,4.2,17
toys,Hobbies,10,Trading Card Sleeves - 1000 Ultra Pro Clear Deck Protectors Pokemon MTG Sized,4.2,27
toys,Hobbies,10,Hot Wheels Wall Tracks Auto Motion Speedway,4.1,31
toys,Hobbies,10,Nano Speed X Concepts (Pack of 4),4.1,13
toys,Hobbies,10,Scalextric C8511 Track Extension Pack 2 - Leap 1:32 Scale Accessory,4.1,17
toys,Hobbies,10,XT-XINTE FQ777-124 Pocket Drone 4CH 6Axis Gyro UFO Quadcopter With Switchable Controller RTF Helicopter (Black),4.1,16
toys,Hobbies,10,Scalextric Digital C1296 Pit Stop Challenge 1:32 Scale Race Set,4.1,19
toys,Hobbies,10,LUJII 4x4 Salt Water Engine Car Kit-New Vison,4.1,127
toys,Hobbies,10,Scalextric Start C3164 Pro Racing 1:32 Scale Twin Slot Car Pack,4.1,14
toys,Hobbies,10,Scalextric C8215 Lap Counter/Timer 1:32 Scale Accessory,4.1,22
toys,Hobbies,10,Official Licensed RC Radio Remote Control Invincible Tornado TURBO Twister Power Wheels Stunt Car Rechargeable- LARGE 18CM BLUE OR RED,4.1,14
toys,Hobbies,10,50 pcs all sitting people figures 00 gauge 1:76 new,4.0,16
toys,Hobbies,10,9.6V Ni-Cd 600mAh Rechargeable Battery Pack 2pin for Radio Controlled Toys - (NOT Compatible for Vaporizr),4.0,32
toys,Hobbies,10,Scalextric 1:32 Scale Quick Build Cops & Robbers Race Set,4.0,61
toys,Hobbies,10,CLASSIC TOY TRAIN SET TRACK CARRIAGES LIGHT ENGINE BOXED BOYS KIDS BATTERY,3.9,17
